City,State,Temperature_F_grouped,Visibility mi group,Weather Conditions,Distance mi,Duration min,Hour of Accident,Severity
Porterville,CA,51-60,6-10,Fair,0.07,139,21,2
Sacramento,CA,51-60,6-10,Fair,1.11,139,22,2
Los Angeles,CA,51-60,6-10,Fair,0.01,148,21,2
West Sacramento,CA,51-60,6-10,Fair,0.03,150,21,2
Moreno Valley,CA,51-60,6-10,Fair,1.74,164,20,2
Los Angeles,CA,51-60,6-10,Fair,4.4,276,4,2
Los Angeles,CA,51-60,6-10,Fair,5.31,277,4,2
Los Angeles,CA,51-60,6-10,Fair,3.29,283,4,2
Los Angeles,CA,51-60,6-10,Fair,0.7,25,0,2
El Monte,CA,51-60,6-10,Fair,1.04,33,21,2
Lynwood,CA,51-60,6-10,Fair,1.49,36,20,2
Buena Park,CA,51-60,6-10,Fair,1.19,68,23,2
Los Angeles,CA,51-60,6-10,Fair,0.31,128,23,2
Long Beach,CA,51-60,6-10,Fair,0.83,129,22,2
Los Angeles,CA,51-60,6-10,Fair,0.11,130,22,2
Modesto,CA,51-60,6-10,Fair,0.02,130,22,2
Oakdale,CA,51-60,6-10,Fair,0.03,130,22,2
Whittier,CA,51-60,6-10,Fair,0.06,131,20,2
Alhambra,CA,51-60,6-10,Fair,0.01,133,1,2
Buena Park,CA,51-60,6-10,Fair,0.84,133,23,2
Cutler,CA,51-60,6-10,Fair,0.22,133,0,2
Whittier,CA,51-60,6-10,Fair,0.04,133,23,2
Lynwood,CA,51-60,6-10,Fair,0.07,137,20,2
Bellflower,CA,51-60,6-10,Fair,0.02,154,21,2
Long Beach,CA,51-60,6-10,Fair,0.42,156,22,2
Long Beach,CA,51-60,6-10,Fair,0.47,156,22,2
Baldwin Park,CA,51-60,6-10,Fair,0.07,174,21,2
North Hollywood,CA,51-60,6-10,Fair,0.45,20,1,2
Pacoima,CA,51-60,6-10,Fair,0.25,20,23,2
Whittier,CA,51-60,6-10,Fair,1.24,56,21,2
Whittier,CA,51-60,6-10,Fair,1,59,21,2
Long Beach,CA,51-60,6-10,Fair,1.34,80,22,2
Buena Park,CA,51-60,6-10,Fair,1.43,110,23,2
Buena Park,CA,51-60,6-10,Fair,1.07,123,22,2
Pacoima,CA,51-60,6-10,Fair,0.04,126,23,2
Los Angeles,CA,51-60,6-10,Fair,0.25,127,22,2
Los Angeles,CA,51-60,6-10,Fair,0.12,128,3,2
Roseville,CA,51-60,6-10,Fair,0.32,128,21,2
La Mirada,CA,51-60,6-10,Fair,0.95,129,22,2
Cerritos,CA,51-60,6-10,Fair,0.16,130,21,2
Madera,CA,51-60,6-10,Fair,0.19,130,20,2
Buena Park,CA,51-60,6-10,Fair,0.14,132,22,2
Burbank,CA,51-60,6-10,Fair,0.04,132,3,2
San Fernando,CA,51-60,6-10,Fair,0.11,132,22,2
Covina,CA,51-60,6-10,Fair,0.05,134,22,2
Los Angeles,CA,51-60,6-10,Fair,0.13,134,21,2
Whittier,CA,51-60,6-10,Fair,0.01,134,20,2
Fullerton,CA,51-60,6-10,Fair,0.15,139,21,2
Los Angeles,CA,51-60,6-10,Fair,0.19,141,3,2
Downey,CA,51-60,6-10,Fair,0.94,148,21,2
Arcadia,CA,51-60,6-10,Fair,0.06,149,20,2
Madera,CA,51-60,6-10,Fair,0.07,150,20,2
Buena Park,CA,51-60,6-10,Fair,0.94,151,22,2
Los Angeles,CA,51-60,6-10,Fair,0.03,152,21,2
Buena Park,CA,51-60,6-10,Fair,0.13,167,22,2
Whittier,CA,51-60,6-10,Fair,0.04,172,21,2
Fallbrook,CA,51-60,6-10,Fair,0.02,202,20,2
Los Angeles,CA,51-60,6-10,Fair,1.2,29,22,2
Escondido,CA,51-60,6-10,Fair,1.03,127,2,2
Inglewood,CA,51-60,6-10,Fair,0.03,127,20,2
San Bernardino,CA,51-60,6-10,Fair,0.01,131,23,2
Los Angeles,CA,51-60,6-10,Fair,0.02,132,1,2
Los Angeles,CA,51-60,6-10,Fair,0.04,133,23,2
Lemoore,CA,51-60,6-10,Fair,0.34,135,20,2
Los Angeles,CA,51-60,6-10,Fair,0.02,140,1,2
Los Angeles,CA,51-60,6-10,Fair,0.06,162,21,2
Lemoore,CA,51-60,6-10,Fair,0.2,186,20,2
San Bernardino,CA,61-70,6-10,Fair,0.39,21,21,2
West Covina,CA,61-70,6-10,Fair,0.62,25,21,2
Covina,CA,61-70,6-10,Fair,0.62,27,22,2
Long Beach,CA,61-70,6-10,Fair,1.04,65,22,2
Covina,CA,61-70,6-10,Fair,0.11,128,21,2
West Covina,CA,61-70,6-10,Fair,0.01,128,21,2
Anaheim,CA,61-70,6-10,Fair,0.03,129,3,2
Los Angeles,CA,61-70,6-10,Fair,0.05,129,14,2
West Covina,CA,61-70,6-10,Fair,0.03,129,21,2
Long Beach,CA,61-70,6-10,Fair,0.08,130,20,2
Los Angeles,CA,61-70,6-10,Fair,0.05,131,14,2
Covina,CA,61-70,6-10,Fair,0.04,134,21,2
Topanga,CA,61-70,6-10,Fair,0.13,134,16,2
Covina,CA,61-70,6-10,Fair,0.31,140,21,2
San Bernardino,CA,61-70,6-10,Fair,0.14,147,21,2
Los Angeles,CA,61-70,6-10,Fair,0.68,160,14,2
Lodi,CA,61-70,6-10,Fair,0.3,181,21,2
Los Angeles,CA,61-70,6-10,Fair,0.73,230,14,2
Los Angeles,CA,61-70,6-10,Fair,0.82,235,14,2
Los Angeles,CA,61-70,6-10,Fair,1.03,240,14,2
Los Angeles,CA,61-70,6-10,Fair,0.3,243,14,2
Los Angeles,CA,61-70,6-10,Fair,0.46,291,14,2
Los Angeles,CA,61-70,6-10,Fair,0.8,296,14,2
Los Angeles,CA,61-70,6-10,Fair,0.53,20,22,2
El Monte,CA,61-70,6-10,Fair,0.73,28,2,2
Castaic,CA,61-70,6-10,Fair,1.27,32,23,2
San Diego,CA,61-70,6-10,Fair,0.28,125,21,2
Los Angeles,CA,61-70,6-10,Fair,0.05,126,23,2
Castaic,CA,61-70,6-10,Fair,0.72,127,22,2
Los Angeles,CA,61-70,6-10,Fair,0.74,135,22,2
Castaic,CA,61-70,6-10,Fair,1.51,149,22,2
Castaic,CA,61-70,6-10,Fair,1.75,154,22,2
Compton,CA,61-70,6-10,Fair,0.08,177,21,2
Castaic,CA,61-70,6-10,Fair,1.98,178,22,2
Castaic,CA,61-70,6-10,Fair,1.75,206,22,2
La Mirada,CA,61-70,6-10,Fair,0.91,14,0,2
Pacoima,CA,61-70,6-10,Fair,0.56,27,22,2
Pacoima,CA,61-70,6-10,Fair,0.44,50,23,2
Costa Mesa,CA,61-70,6-10,Fair,0.32,126,21,2
Bakersfield,CA,61-70,6-10,Fair,1.01,130,16,2
La Mirada,CA,61-70,6-10,Fair,0.04,130,0,2
Los Angeles,CA,61-70,6-10,Fair,0.01,130,21,2
Whittier,CA,61-70,6-10,Fair,0.04,130,0,2
Whittier,CA,61-70,6-10,Fair,0.1,130,0,2
Anaheim,CA,61-70,6-10,Fair,0.1,133,0,2
La Puente,CA,61-70,6-10,Fair,0.01,134,10,2
Montrose,CA,61-70,6-10,Fair,0.1,134,20,2
La Mirada,CA,61-70,6-10,Fair,0.04,142,0,2
Costa Mesa,CA,61-70,6-10,Fair,0.13,147,21,2
Buena Park,CA,61-70,6-10,Fair,1.47,153,0,2
La Puente,CA,61-70,6-10,Fair,0.01,178,10,2
Carson,CA,61-70,6-10,Fair,0.02,124,20,2
Los Angeles,CA,61-70,6-10,Fair,0.02,127,20,2
West Covina,CA,61-70,6-10,Fair,0.08,127,23,2
Claremont,CA,61-70,6-10,Fair,0.03,129,23,2
Los Angeles,CA,61-70,6-10,Fair,0.03,133,23,2
Los Angeles,CA,61-70,6-10,Fair,0.65,133,13,2
Colton,CA,61-70,6-10,Fair,0.75,134,13,2
Huntington Park,CA,61-70,6-10,Fair,0.04,138,13,2
Santa Monica,CA,61-70,6-10,Fair,1.63,138,19,2
Los Angeles,CA,61-70,6-10,Fair,0.83,150,13,2
Bakersfield,CA,61-70,6-10,Fair,0.17,128,22,2
Barstow,CA,61-70,6-10,Fair,0.09,134,15,2
Long Beach,CA,61-70,6-10,Fair,0.38,32,23,2
Long Beach,CA,61-70,6-10,Fair,0.07,128,20,2
Lynwood,CA,61-70,6-10,Fair,0.01,133,20,2
Long Beach,CA,61-70,6-10,Fair,0.03,143,20,2
La Puente,CA,61-70,6-10,Fair,0.7,249,12,2
Compton,CA,61-70,6-10,Fair,0.08,131,22,2
Bakersfield,CA,61-70,6-10,Fair,0.51,135,22,2
North Hollywood,CA,61-70,6-10,Fair,0.49,130,15,2
Los Angeles,CA,71-80,6-10,Fair,0.06,132,15,2
Hayward,CA,41-50,6-10,Cloudy,0.77,155,7,2
Hayward,CA,41-50,6-10,Cloudy,0.82,155,7,2
San Mateo,CA,41-50,6-10,Cloudy,1.07,170,8,2
San Jose,CA,41-50,6-10,Cloudy,0.03,200,17,2
Los Angeles,CA,51-60,6-10,Cloudy,0.22,23,8,2
Los Angeles,CA,51-60,6-10,Cloudy,0.31,125,8,2
Fresno,CA,51-60,6-10,Cloudy,0.06,129,11,2
San Jose,CA,51-60,6-10,Cloudy,0.27,130,18,2
Los Angeles,CA,51-60,6-10,Cloudy,0.05,139,8,2
Irvine,CA,51-60,6-10,Cloudy,0.83,141,7,2
Los Angeles,CA,51-60,6-10,Cloudy,0.04,155,8,2
Irvine,CA,51-60,6-10,Cloudy,0.87,158,7,2
Anaheim,CA,51-60,6-10,Cloudy,0.74,213,8,2
Rio Vista,CA,51-60,6-10,Cloudy,0.77,27,10,2
Dublin,CA,51-60,6-10,Cloudy,0.36,127,10,2
Covina,CA,51-60,6-10,Cloudy,0.05,128,11,2
Rio Vista,CA,51-60,6-10,Cloudy,1.28,128,10,2
Santa Cruz,CA,51-60,6-10,Cloudy,0.2,130,9,2
Santa Cruz,CA,51-60,6-10,Cloudy,0.11,131,14,2
Danville,CA,51-60,6-10,Cloudy,0.02,132,11,2
Los Angeles,CA,51-60,6-10,Cloudy,0.01,132,8,2
Morgan Hill,CA,51-60,6-10,Cloudy,0.09,132,10,2
Porter Ranch,CA,51-60,6-10,Cloudy,0.42,133,10,2
New Cuyama,CA,51-60,6-10,Cloudy,0.55,134,18,2
Valley Springs,CA,51-60,6-10,Cloudy,0.05,139,16,2
Porter Ranch,CA,51-60,6-10,Cloudy,0.42,162,10,2
Fresno,CA,51-60,6-10,Cloudy,0.47,23,8,2
San Diego,CA,51-60,6-10,Cloudy,1.05,25,9,2
Rancho Cucamonga,CA,51-60,6-10,Cloudy,0.81,127,16,2
Fresno,CA,51-60,6-10,Cloudy,0.79,128,8,2
Ventura,CA,51-60,6-10,Cloudy,0.12,128,18,2
Riverside,CA,51-60,6-10,Cloudy,0.07,129,12,2
Salinas,CA,51-60,6-10,Cloudy,0.08,130,18,2
Fontana,CA,51-60,6-10,Cloudy,1.13,131,16,2
Lake Zurich,IL,41-50,6-10,Cloudy,0.01,30,6,2
Lake Zurich,IL,41-50,6-10,Cloudy,0.01,30,6,2
Overland Park,KS,31-40,6-10,Cloudy,1.01,36,11,2
Kansas City,KS,41-50,6-10,Cloudy,0.12,45,15,2
Kansas City,MO,31-40,6-10,Rain,0.15,45,21,2
Austin,TX,61-70,6-10,Cloudy,0.09,360,8,2
Argyle,TX,61-70,6-10,Light Precipitation,0.03,127,15,2
Skokie,IL,31-40,6-10,Cloudy,0.02,46,6,2
Chicago,IL,31-40,6-10,Light Precipitation,0.44,15,8,2
Elgin,IL,41-50,6-10,Light Precipitation,0.02,30,5,2
Newport,MN,21-30,6-10,Fair,0.31,61,8,2
Minnesota City,MN,31-40,6-10,Light Precipitation,0.35,60,11,2
Austin,TX,61-70,6-10,Cloudy,0.01,360,8,2
Austin,TX,61-70,6-10,Cloudy,0.05,360,8,2
Austin,TX,61-70,6-10,Cloudy,0.12,360,7,2
Balch Springs,TX,61-70,6-10,Light Precipitation,0.01,127,10,2
Chicago,IL,31-40,6-10,Cloudy,0.21,45,6,2
La Grange,IL,41-50,6-10,Cloudy,0.01,30,16,2
West Chicago,IL,21-30,6-10,Fair,0.04,30,6,2
Austin,TX,61-70,6-10,Cloudy,0.08,360,13,2
Austin,TX,61-70,6-10,Cloudy,0.51,75,17,2
Iron,MN,31-40,0-5,Dust/Fog/Haze/Mist,0.14,64,8,2
Akeley,MN,11-20,0-5,Light Precipitation,0.12,60,12,2
Duluth,MN,21-30,0-5,Light Precipitation,0.18,64,17,2
Austin,TX,61-70,0-5,Dust/Fog/Haze/Mist,0.06,360,8,2
Austin,TX,61-70,0-5,Dust/Fog/Haze/Mist,0.15,360,8,2
Austin,TX,61-70,0-5,Dust/Fog/Haze/Mist,0.06,360,10,2
Austin,TX,61-70,0-5,Heavy Precipitation,0.02,360,10,2
Dallas,TX,51-60,0-5,Light Precipitation,2.72,52,13,2
Dallas,TX,51-60,0-5,Light Precipitation,0.02,126,13,2
Dallas,TX,51-60,0-5,Light Precipitation,0.3,126,13,2
Austin,TX,61-70,0-5,Light Precipitation,0.11,360,15,2
Riverdale,IL,31-40,0-5,Drizzle,2.09,15,7,2
Rochelle,IL,51-60,0-5,Heavy Precipitation,1.49,30,19,2
Rochelle,IL,51-60,0-5,Heavy Precipitation,1.49,30,19,2
Rochelle,IL,51-60,0-5,Heavy Precipitation,1.49,90,19,2
Winnetka,IL,51-60,0-5,Thunderstorm,0.04,30,19,2
Northbrook,IL,51-60,0-5,Thunderstorm,0.02,32,19,2
Kansas City,KS,41-50,0-5,Rain,0.16,45,18,2
New Ulm,MN,31-40,0-5,Cloudy,0.6,20,17,2
Forest Lake,MN,31-40,0-5,Light Precipitation,0.33,79,19,2
Ashby,MN,11-20,0-5,Light Precipitation,1.1,61,12,2
Minneapolis,MN,31-40,0-5,Light Precipitation,1.84,30,19,2
Minneapolis,MN,31-40,0-5,Light Precipitation,1.09,60,19,2
Burnsville,MN,31-40,0-5,Light Precipitation,0.66,62,20,2
Minneapolis,MN,31-40,0-5,Light Precipitation,0.68,62,20,2
Minneapolis,MN,31-40,0-5,Light Precipitation,0.76,63,20,2
Minneapolis,MN,31-40,0-5,Light Precipitation,0.99,63,20,2
Saint Paul,MN,31-40,0-5,Light Precipitation,0.45,63,20,2
Minneapolis,MN,31-40,0-5,Light Precipitation,8.84,95,19,2
Forest Lake,MN,31-40,0-5,Light Precipitation,0.41,60,19,2
Saint Paul,MN,31-40,0-5,Light Precipitation,0.06,61,19,2
Saint Paul,MN,31-40,0-5,Light Precipitation,0.06,61,19,2
Forest Lake,MN,31-40,0-5,Light Precipitation,0.44,62,20,2
Saint Paul,MN,31-40,0-5,Light Precipitation,0.46,62,19,2
Saint Paul,MN,31-40,0-5,Light Precipitation,0.46,62,19,2
Mesquite,TX,61-70,0-5,Dust/Fog/Haze/Mist,0.81,40,17,2
Austin,TX,61-70,0-5,Light Precipitation,0.03,360,10,2
Austin,TX,61-70,0-5,Light Precipitation,0.07,360,10,2
Beloit,WI,41-50,0-5,Dust/Fog/Haze/Mist,0.87,128,11,2
Beloit,WI,41-50,0-5,Dust/Fog/Haze/Mist,0.87,128,11,2
Milwaukee,WI,31-40,0-5,Light Precipitation,0.25,128,9,2
Milwaukee,WI,31-40,0-5,Light Precipitation,0.23,131,9,2
Dolton,IL,31-40,0-5,Cloudy,0.17,100,6,2
South Holland,IL,31-40,0-5,Cloudy,2.58,180,6,2
South Holland,IL,31-40,0-5,Cloudy,3.07,241,6,2
Libertyville,IL,41-50,0-5,Cloudy,0.09,30,9,2
Chicago,IL,31-40,0-5,Light Precipitation,0.06,30,13,2
Chicago,IL,31-40,0-5,Light Precipitation,0.05,39,10,2
Kansas City,KS,41-50,0-5,Heavy Precipitation,0.8,45,19,2
Finlayson,MN,31-40,0-5,Light Precipitation,1.62,65,19,2
Sandstone,MN,31-40,0-5,Light Precipitation,1.77,65,19,2
Faribault,MN,31-40,0-5,Rain,0.11,61,19,2
Osseo,MN,31-40,0-5,Thunderstorm,0.41,61,18,2
Osseo,MN,31-40,0-5,Thunderstorm,0.51,61,18,2
Minneapolis,MN,31-40,0-5,Thunderstorm,0.23,63,18,2
Lees Summit,MO,41-50,0-5,Light Precipitation,0.35,45,6,2
Austin,TX,61-70,0-5,Cloudy,0.04,360,14,2
Austin,TX,61-70,0-5,Cloudy,0.04,360,14,2
Dallas,TX,71-80,0-5,Thunderstorm,1.42,123,13,2
Garland,TX,61-70,0-5,Light Precipitation,0.06,123,12,2
Arlington,TX,51-60,0-5,Thunderstorm,1.63,46,18,2
Chicago,IL,31-40,0-5,Cloudy,0.94,45,6,2
Isle,MN,31-40,0-5,Light Precipitation,1.42,61,6,2
Barnum,MN,31-40,0-5,Light Precipitation,1.26,14,19,2
Saint Paul,MN,31-40,0-5,Light Precipitation,0.21,60,19,2
Saint Paul,MN,31-40,0-5,Light Precipitation,0.34,62,19,2
Saint Paul,MN,31-40,0-5,Light Precipitation,0.49,63,19,2
Clearwater,MN,31-40,0-5,Rain,1.26,15,18,2
Milaca,MN,31-40,0-5,Rain,0.09,61,1,2
Osseo,MN,31-40,0-5,Thunderstorm,0.42,65,19,2
Burnsville,MN,31-40,0-5,Wintry Mix,2.73,30,19,2
Minneapolis,MN,31-40,0-5,Wintry Mix,0.83,60,19,2
Saint Paul,MN,31-40,0-5,Wintry Mix,0.31,61,19,2
Kansas City,MO,31-40,0-5,Heavy Precipitation,0.05,45,22,2
Kansas City,MO,31-40,0-5,Rain,0.09,45,21,2
Kansas City,MO,41-50,0-5,Rain,0.66,26,20,2
Dallas,TX,61-70,0-5,Cloudy,0.1,127,0,2
Manor,TX,61-70,0-5,Cloudy,0.26,25,7,2
Manor,TX,61-70,0-5,Cloudy,0.26,97,6,2
Manor,TX,61-70,0-5,Cloudy,0.08,360,7,2
Dallas,TX,81-90,0-5,Dust/Fog/Haze/Mist,0.99,129,19,2
Austin,TX,61-70,0-5,Light Precipitation,0.04,360,19,2
Grand Prairie,TX,61-70,0-5,Rain,0.06,125,7,2
Milwaukee,WI,21-30,0-5,Fair,0.75,138,0,2
Portage,WI,31-40,0-5,Wintry Mix,2.57,35,5,2
Chicago,IL,41-50,0-5,Light Precipitation,2.53,217,6,2
Chicago,IL,41-50,0-5,Light Precipitation,1.97,252,6,2
Chicago,IL,41-50,0-5,Light Precipitation,2.6,309,6,2
Chicago,IL,41-50,0-5,Light Precipitation,0.59,13,17,2
La Grange,IL,41-50,0-5,Light Precipitation,0.59,28,17,2
Overland Park,KS,31-40,0-5,Light Precipitation,0.19,45,22,2
Kansas City,KS,31-40,0-5,Rain,1.65,20,21,2
Lenexa,KS,41-50,0-5,Rain,0.07,45,20,2
Anoka,MN,31-40,0-5,Cloudy,0.02,61,7,2
Shakopee,MN,31-40,0-5,Cloudy,0.18,61,2,2
Eagle Lake,MN,31-40,0-5,Rain,0.94,60,21,2
Kansas City,MO,31-40,0-5,Rain,0.56,13,21,2
Kansas City,MO,31-40,0-5,Rain,0.22,45,21,2
Kansas City,MO,31-40,0-5,Rain,0.24,45,21,2
Kansas City,MO,41-50,0-5,Rain,0.24,55,19,2
Pflugerville,TX,61-70,0-5,Cloudy,0.04,360,4,2
Pflugerville,TX,71-80,0-5,Cloudy,0.19,360,16,2
Dallas,TX,61-70,0-5,Light Precipitation,0.97,129,22,2
Sunnyvale,TX,51-60,0-5,Thunderstorm,1.06,124,20,2
Dallas,TX,61-70,0-5,Thunderstorm,1.58,104,7,2
Brookfield,WI,31-40,0-5,Cloudy,5.98,133,6,2
Milwaukee,WI,51-60,0-5,Thunderstorm,0.58,126,20,2
Elgin,IL,31-40,6-10,Light Precipitation,0.02,30,4,2
Shawnee,KS,31-40,6-10,Rain,0.2,45,21,2
Saint Cloud,MN,21-30,6-10,Cloudy,0.31,61,9,2
Le Sueur,MN,31-40,6-10,Cloudy,0.19,61,12,2
Minneapolis,MN,31-40,6-10,Light Precipitation,0.16,61,3,2
Richardson,TX,61-70,6-10,Cloudy,2.11,46,15,2
Manor,TX,61-70,6-10,Cloudy,0.15,360,23,2
Irving,TX,61-70,6-10,Light Precipitation,0.3,126,22,2
Dallas,TX,61-70,6-10,Light Precipitation,1.27,125,7,2
Dallas,TX,61-70,6-10,Light Precipitation,0.83,129,7,2
Dallas,TX,61-70,6-10,Light Precipitation,0.99,132,7,2
Dallas,TX,61-70,6-10,Light Precipitation,1.67,222,7,2
Fort Worth,TX,61-70,6-10,Dust/Fog/Haze/Mist,0.49,25,21,2
Markham,IL,31-40,6-10,Light Precipitation,1.81,26,6,2
Chicago,IL,31-40,6-10,Light Precipitation,0.37,15,8,2
Marengo,IL,31-40,6-10,Light Precipitation,0.02,397,19,2
Marengo,IL,31-40,6-10,Light Precipitation,0.02,397,19,2
Elmhurst,IL,31-40,6-10,Light Precipitation,0.98,44,16,2
Rochelle,IL,41-50,6-10,Light Precipitation,1.49,35,19,2
Belvidere,IL,51-60,6-10,Light Precipitation,0.38,30,19,2
Belvidere,IL,51-60,6-10,Light Precipitation,1.32,84,19,2
Belvidere,IL,51-60,6-10,Light Precipitation,0.38,102,19,2
Lombard,IL,61-70,6-10,Light Precipitation,0.03,30,17,2
Chicago,IL,31-40,6-10,Light Precipitation,0.07,120,11,2
Rensselaer,IN,31-40,6-10,Cloudy,2.08,262,8,2
Hammond,IN,41-50,6-10,Cloudy,2.98,197,15,2
Crown Point,IN,41-50,6-10,Rain,0.18,119,14,2
Wolcott,IN,51-60,6-10,Thunderstorm,1.17,113,21,2
Wolcott,IN,51-60,6-10,Thunderstorm,1.18,113,21,2
Grey Eagle,MN,21-30,6-10,Cloudy,0.12,61,21,2
Stacy,MN,31-40,6-10,Cloudy,0.92,60,20,2
Harris,MN,31-40,6-10,Cloudy,0.37,60,8,2
Burtrum,MN,11-20,6-10,Fair,0.14,62,21,2
Mankato,MN,21-30,6-10,Fair,0.18,61,20,2
Sauk Centre,MN,21-30,6-10,Light Precipitation,0.97,61,19,2
Owatonna,MN,31-40,6-10,Rain,0.03,61,21,2
Saint Paul,MN,31-40,6-10,Wintry Mix,0.7,82,19,2
Minneapolis,MN,31-40,6-10,Wintry Mix,0.29,60,19,2
Kansas City,MO,31-40,6-10,Light Precipitation,0.14,45,23,2
Kansas City,MO,31-40,6-10,Rain,0.14,45,21,2
Austin,TX,61-70,6-10,Cloudy,0.14,360,10,2
Waxahachie,TX,61-70,6-10,Cloudy,1.7,139,10,2
Austin,TX,61-70,6-10,Cloudy,0.03,359,7,2
Austin,TX,61-70,6-10,Cloudy,0.05,360,8,2
Austin,TX,61-70,6-10,Cloudy,0.08,360,7,2
Austin,TX,61-70,6-10,Cloudy,0.1,360,8,2
Austin,TX,61-70,6-10,Cloudy,0.12,360,8,2
Austin,TX,61-70,6-10,Cloudy,0.37,360,8,2
Dripping Springs,TX,61-70,6-10,Cloudy,0.05,360,8,2
Austin,TX,61-70,6-10,Cloudy,0.02,360,9,2
Dallas,TX,61-70,6-10,Light Precipitation,1.26,82,10,2
Dallas,TX,61-70,6-10,Light Precipitation,0.87,126,10,2
Duncanville,TX,61-70,6-10,Light Precipitation,3.68,150,11,2
Terrell,TX,71-80,6-10,Light Precipitation,0.15,136,10,2
Manor,TX,61-70,6-10,Cloudy,0.23,360,22,2
Garland,TX,71-80,6-10,Cloudy,1.24,127,21,2
Sturtevant,WI,31-40,6-10,Cloudy,1.95,14,22,2
Knapp,WI,31-40,6-10,Cloudy,1.2,61,22,2
Knapp,WI,31-40,6-10,Cloudy,1.31,61,22,2
Knapp,WI,31-40,6-10,Cloudy,1.38,61,22,2
Green Bay,WI,31-40,6-10,Cloudy,0.13,134,13,2
Green Bay,WI,31-40,6-10,Cloudy,0.19,153,13,2
Des Plaines,IL,31-40,6-10,Cloudy,0.51,14,9,2
Chicago,IL,31-40,6-10,Cloudy,0.46,45,6,2
Blue Island,IL,31-40,6-10,Cloudy,0.02,86,6,2
Chicago,IL,41-50,6-10,Cloudy,0.97,13,17,2
Chicago,IL,41-50,6-10,Cloudy,0.04,30,16,2
Chicago,IL,41-50,6-10,Cloudy,0.22,35,16,2
Chicago,IL,41-50,6-10,Cloudy,0.93,35,16,2
Lombard,IL,31-40,6-10,Light Precipitation,0.05,30,8,2
Austin,TX,61-70,6-10,Cloudy,0.02,360,7,2
Austin,TX,61-70,6-10,Cloudy,0.06,360,7,2
Richardson,TX,71-80,6-10,Fair,0.99,25,21,2
Manor,TX,71-80,6-10,Fair,0.05,360,19,2
Austin,TX,61-70,6-10,Light Precipitation,0.08,360,5,2
Dallas,TX,71-80,6-10,Cloudy,0.97,126,18,2
Sturtevant,WI,31-40,6-10,Cloudy,0.04,129,22,2
Sturtevant,WI,31-40,6-10,Cloudy,0.88,134,22,2
West Chicago,IL,31-40,6-10,Cloudy,0.02,63,10,2
West Chicago,IL,31-40,6-10,Cloudy,0.02,63,10,2
Carol Stream,IL,41-50,6-10,Cloudy,0.01,30,12,2
